[2026-04-30 11:02:02] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
HB | fs_680_3 | 688 | 688 | 128 | 2646 | 43 | 86 | 0.12 | 9.920198
HB | fs_760_1 | 768 | 768 | 128 | 5976 | 48 | 175 | 0.13 | 15.620313
HB | fs_760_2 | 768 | 768 | 128 | 5976 | 48 | 175 | 0.13 | 15.960320
HB | fs_760_3 | 768 | 768 | 128 | 5976 | 48 | 175 | 0.13 | 15.920319
HB | gemat1 | 4944 | 10608 | 128 | 47369 | 309 | 1397 | 0.13 | 214.324280
HB | gemat11 | 4944 | 4944 | 128 | 33185 | 309 | 690 | 0.19 | 46.880939
HB | gemat12 | 4944 | 4944 | 128 | 33111 | 309 | 705 | 0.18 | 48.200966
HB | gr_30_30 | 912 | 912 | 128 | 4322 | 57 | 164 | 0.1 | 16.500330
HB | gre_1107 | 1120 | 1120 | 128 | 5664 | 70 | 265 | 0.08 | 20.360407
HB | gre_115 | 128 | 128 | 128 | 421 | 8 | 19 | 0.09 | 7.380147
HB | gre_185 | 192 | 192 | 128 | 1005 | 12 | 39 | 0.1 | 8.560171
HB | gre_216a | 224 | 224 | 128 | 876 | 14 | 39 | 0.09 | 8.820176
HB | gre_216b | 224 | 224 | 128 | 876 | 14 | 39 | 0.09 | 9.060182
HB | gre_343 | 352 | 352 | 128 | 1435 | 22 | 69 | 0.08 | 9.720195
HB | gre_512 | 512 | 512 | 128 | 2192 | 32 | 108 | 0.08 | 14.840297
HB | hor_131 | 448 | 448 | 128 | 4710 | 28 | 107 | 0.17 | 14.720294
HB | illc1033 | 1040 | 320 | 128 | 4732 | 65 | 82 | 0.23 | 12.640253
HB | illc1850 | 1856 | 720 | 128 | 8758 | 116 | 178 | 0.19 | 22.880457
HB | impcol_a | 208 | 208 | 128 | 572 | 13 | 26 | 0.09 | 7.620152
HB | impcol_b | 64 | 64 | 128 | 312 | 4 | 7 | 0.17 | 6.200124
HB | impcol_c | 144 | 144 | 128 | 411 | 9 | 20 | 0.08 | 8.100162
HB | impcol_d | 432 | 432 | 128 | 1339 | 27 | 65 | 0.08 | 11.740234
HB | impcol_e | 240 | 240 | 128 | 1308 | 15 | 35 | 0.15 | 8.780175
HB | jpwh_991 | 992 | 992 | 128 | 6027 | 62 | 228 | 0.1 | 21.380428
HB | lns_131 | 144 | 144 | 128 | 536 | 9 | 22 | 0.1 | 8.540171
HB | lns_3937 | 3952 | 3952 | 128 | 25407 | 247 | 1038 | 0.1 | 76.181526
HB | lns_511 | 512 | 512 | 128 | 2796 | 32 | 109 | 0.1 | 14.660294
HB | lnsp3937 | 3952 | 3952 | 128 | 25407 | 247 | 1035 | 0.1 | 77.501549
HB | lnsp_131 | 144 | 144 | 128 | 536 | 9 | 21 | 0.1 | 7.660153
HB | lnsp_511 | 512 | 512 | 128 | 2796 | 32 | 113 | 0.1 | 15.980320
HB | lund_a | 160 | 160 | 128 | 1298 | 10 | 25 | 0.2 | 7.920158
HB | lund_b | 160 | 160 | 128 | 1294 | 10 | 26 | 0.19 | 7.880157
HB | mahindas | 1264 | 1264 | 128 | 7682 | 79 | 205 | 0.15 | 28.820576
HB | mahindas_b | 1264 | 64 | 128 | 162 | 79 | 10 | 0.06 | 10.780215
HB | mbeacxc | 496 | 496 | 128 | 49920 | 31 | 512 | 0.38 | 79.221588
HB | mbeaflw | 496 | 496 | 128 | 49920 | 31 | 512 | 0.38 | 79.361588
HB | mbeause | 496 | 496 | 128 | 41063 | 31 | 422 | 0.38 | 82.801659
HB | mcca | 192 | 192 | 128 | 2659 | 12 | 38 | 0.27 | 11.860237
HB | mcfe | 768 | 768 | 128 | 24382 | 48 | 372 | 0.26 | 45.320908
HB | nnc1374 | 1376 | 1376 | 128 | 8606 | 86 | 288 | 0.12 | 21.880438
HB | nnc261 | 272 | 272 | 128 | 1500 | 17 | 50 | 0.12 | 9.240185
HB | nnc666 | 672 | 672 | 128 | 4044 | 42 | 134 | 0.12 | 14.020281
