[2026-05-01 20:23:51] | Category: Bai | Sample: mhdb416 | Dims(M,K,N,NNZ): 416,416,128,1364 | Perf: 8.220164 | Verify: SUCCESS
[2026-05-01 20:23:59] | Category: Bai | Sample: odepa400 | Dims(M,K,N,NNZ): 400,400,128,1201 | Perf: 8.480169 | Verify: SUCCESS
[2026-05-01 20:24:07] | Category: Bai | Sample: odepb400 | Dims(M,K,N,NNZ): 400,400,128,399 | Perf: 7.660153 | Verify: SUCCESS
[2026-05-01 20:24:14] | Category: Bai | Sample: olm100 | Dims(M,K,N,NNZ): 112,112,128,396 | Perf: 7.200144 | Verify: SUCCESS
[2026-05-01 20:24:25] | Category: Bai | Sample: olm1000 | Dims(M,K,N,NNZ): 1008,1008,128,3996 | Perf: 14.180284 | Verify: SUCCESS
[2026-05-01 20:24:39] | Category: Bai | Sample: olm500 | Dims(M,K,N,NNZ): 512,512,128,1996 | Perf: 10.120202 | Verify: SUCCESS
[2026-05-01 20:25:00] | Category: Bai | Sample: pde225 | Dims(M,K,N,NNZ): 240,240,128,1065 | Perf: 8.140162 | Verify: SUCCESS
[2026-05-01 20:25:18] | Category: Bai | Sample: pde2961 | Dims(M,K,N,NNZ): 2976,2976,128,14585 | Perf: 37.080742 | Verify: SUCCESS
[2026-05-01 20:25:28] | Category: Bai | Sample: pde900 | Dims(M,K,N,NNZ): 912,912,128,4380 | Perf: 14.800296 | Verify: SUCCESS
[2026-05-01 20:25:41] | Category: Bai | Sample: qh1484 | Dims(M,K,N,NNZ): 1488,1488,128,6110 | Perf: 48.040962 | Verify: SUCCESS
[2026-05-01 20:25:51] | Category: Bai | Sample: qh768 | Dims(M,K,N,NNZ): 768,768,128,2934 | Perf: 11.340227 | Verify: SUCCESS
[2026-05-01 20:26:01] | Category: Bai | Sample: qh882 | Dims(M,K,N,NNZ): 896,896,128,3354 | Perf: 12.620253 | Verify: SUCCESS
[2026-05-01 20:26:14] | Category: Bai | Sample: rbsa480 | Dims(M,K,N,NNZ): 480,480,128,17088 | Perf: 14.440289 | Verify: SUCCESS
[2026-05-01 20:26:26] | Category: Bai | Sample: rbsb480 | Dims(M,K,N,NNZ): 480,480,128,17088 | Perf: 14.340287 | Verify: SUCCESS
[2026-05-01 20:26:38] | Category: Bai | Sample: rdb1250 | Dims(M,K,N,NNZ): 1264,1264,128,7300 | Perf: 21.880438 | Verify: SUCCESS
[2026-05-01 20:26:51] | Category: Bai | Sample: rdb1250l | Dims(M,K,N,NNZ): 1264,1264,128,7300 | Perf: 21.620432 | Verify: SUCCESS
[2026-05-01 20:26:59] | Category: Bai | Sample: rdb200 | Dims(M,K,N,NNZ): 208,208,128,1120 | Perf: 8.260165 | Verify: SUCCESS
[2026-05-01 20:27:07] | Category: Bai | Sample: rdb200l | Dims(M,K,N,NNZ): 208,208,128,1120 | Perf: 8.880177 | Verify: SUCCESS
[2026-05-01 20:27:22] | Category: Bai | Sample: rdb2048 | Dims(M,K,N,NNZ): 2048,2048,128,12032 | Perf: 32.280647 | Verify: SUCCESS
[2026-05-01 20:27:37] | Category: Bai | Sample: rdb2048_noL | Dims(M,K,N,NNZ): 2048,2048,128,12032 | Perf: 32.540649 | Verify: SUCCESS
[2026-05-01 20:27:57] | Category: Bai | Sample: rdb3200l | Dims(M,K,N,NNZ): 3200,3200,128,18880 | Perf: 46.720936 | Verify: SUCCESS
[2026-05-01 20:28:06] | Category: Bai | Sample: rdb450 | Dims(M,K,N,NNZ): 464,464,128,2580 | Perf: 11.340227 | Verify: SUCCESS
[2026-05-01 20:28:15] | Category: Bai | Sample: rdb450l | Dims(M,K,N,NNZ): 464,464,128,2580 | Perf: 11.580232 | Verify: SUCCESS
