[2026-01-27 12:53:49] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
HB | bcsstk24 | 3568 | 3568 | 128 | 81736 | 223 | 842 | 0.38 | 38.201527
HB | bcsstk25 | 15440 | 15440 | 128 | 133840 | 965 | 3447 | 0.15 | 103.024124
HB | bcsstk26 | 1936 | 1936 | 128 | 16129 | 121 | 369 | 0.17 | 15.700628
HB | bcsstk27 | 1232 | 1232 | 128 | 28675 | 77 | 289 | 0.39 | 13.960559
HB | bcsstk28 | 4416 | 4416 | 128 | 111717 | 276 | 1156 | 0.38 | 42.321693
HB | bcsstm01 | 48 | 48 | 128 | 48 | 3 | 3 | 0.06 | 7.040282
HB | bcsstm02 | 80 | 80 | 128 | 66 | 5 | 5 | 0.05 | 4.360174
HB | bcsstm03 | 112 | 112 | 128 | 112 | 7 | 7 | 0.06 | 4.580183
HB | bcsstm04 | 144 | 144 | 128 | 132 | 9 | 9 | 0.06 | 5.360214
HB | bcsstm05 | 160 | 160 | 128 | 153 | 10 | 10 | 0.06 | 4.880195
HB | bcsstm06 | 432 | 432 | 128 | 420 | 27 | 27 | 0.06 | 6.040242
HB | bcsstm07 | 432 | 432 | 128 | 3836 | 27 | 76 | 0.2 | 7.240290
HB | bcsstm08 | 1088 | 1088 | 128 | 1074 | 68 | 68 | 0.06 | 6.760271
HB | bcsstm09 | 1088 | 1088 | 128 | 1083 | 68 | 68 | 0.06 | 6.540262
HB | bcsstm10 | 1088 | 1088 | 128 | 11589 | 68 | 226 | 0.2 | 12.140486
HB | bcsstm11 | 1488 | 1488 | 128 | 1473 | 93 | 93 | 0.06 | 7.080283
HB | bcsstm12 | 1488 | 1488 | 128 | 10566 | 93 | 271 | 0.15 | 12.220489
HB | bcsstm13 | 2016 | 2016 | 128 | 11973 | 126 | 363 | 0.13 | 23.220928
HB | bcsstm19 | 832 | 832 | 128 | 817 | 52 | 52 | 0.06 | 6.360254
HB | bcsstm20 | 496 | 496 | 128 | 485 | 31 | 31 | 0.06 | 5.420217
HB | bcsstm21 | 3600 | 3600 | 128 | 3600 | 225 | 225 | 0.06 | 11.300452
HB | bcsstm22 | 144 | 144 | 128 | 138 | 9 | 9 | 0.06 | 5.120205
HB | bcsstm23 | 3136 | 3136 | 128 | 3134 | 196 | 196 | 0.06 | 10.420417
HB | bcsstm24 | 3568 | 3568 | 128 | 3562 | 223 | 223 | 0.06 | 11.080443
HB | bcsstm25 | 15440 | 15440 | 128 | 15439 | 965 | 965 | 0.06 | 31.701267
HB | bcsstm26 | 1936 | 1936 | 128 | 1922 | 121 | 121 | 0.06 | 8.320333
HB | bcsstm27 | 1232 | 1232 | 128 | 28675 | 77 | 289 | 0.39 | 14.660586
HB | beacxc | 512 | 512 | 128 | 50409 | 32 | 783 | 0.25 | 43.721748
HB | beaflw | 512 | 512 | 128 | 53403 | 32 | 801 | 0.26 | 43.681747
HB | beause | 512 | 512 | 128 | 44551 | 32 | 760 | 0.23 | 43.801750
HB | bp_0 | 832 | 832 | 128 | 3276 | 52 | 157 | 0.08 | 22.680906
HB | bp_1000 | 832 | 832 | 128 | 4661 | 52 | 189 | 0.1 | 25.301012
HB | bp_1200 | 832 | 832 | 128 | 4726 | 52 | 187 | 0.1 | 24.800993
HB | bp_1400 | 832 | 832 | 128 | 4790 | 52 | 192 | 0.1 | 24.960999
HB | bp_1600 | 832 | 832 | 128 | 4841 | 52 | 193 | 0.1 | 25.161007
HB | bp_200 | 832 | 832 | 128 | 3802 | 52 | 167 | 0.09 | 24.600985
HB | bp_400 | 832 | 832 | 128 | 4028 | 52 | 175 | 0.09 | 24.980999
HB | bp_600 | 832 | 832 | 128 | 4172 | 52 | 177 | 0.09 | 24.920998
HB | bp_800 | 832 | 832 | 128 | 4534 | 52 | 186 | 0.1 | 25.561022
HB | fs_183_1 | 192 | 192 | 128 | 1069 | 12 | 45 | 0.09 | 7.820313
HB | fs_183_3 | 192 | 192 | 128 | 1069 | 12 | 45 | 0.09 | 8.460339
HB | fs_183_4 | 192 | 192 | 128 | 1069 | 12 | 45 | 0.09 | 7.920317
HB | fs_183_6 | 192 | 192 | 128 | 1069 | 12 | 45 | 0.09 | 7.820313
HB | fs_541_1 | 544 | 544 | 128 | 4285 | 34 | 201 | 0.08 | 21.780870
HB | fs_541_2 | 544 | 544 | 128 | 4285 | 34 | 201 | 0.08 | 19.100763
HB | fs_541_3 | 544 | 544 | 128 | 4285 | 34 | 201 | 0.08 | 21.980879
HB | fs_541_4 | 544 | 544 | 128 | 4285 | 34 | 201 | 0.08 | 19.340775
HB | fs_680_1 | 688 | 688 | 128 | 2646 | 43 | 150 | 0.07 | 13.240530
HB | fs_680_2 | 688 | 688 | 128 | 2646 | 43 | 150 | 0.07 | 13.460539
HB | fs_680_3 | 688 | 688 | 128 | 2646 | 43 | 150 | 0.07 | 12.900516
HB | fs_760_1 | 768 | 768 | 128 | 5976 | 48 | 352 | 0.07 | 27.221088
HB | fs_760_2 | 768 | 768 | 128 | 5976 | 48 | 352 | 0.07 | 27.181087
HB | fs_760_3 | 768 | 768 | 128 | 5976 | 48 | 352 | 0.07 | 27.181087
HB | gemat1 | 4944 | 10608 | 128 | 47369 | 309 | 1694 | 0.11 | 228.529144
HB | gemat11 | 4944 | 4944 | 128 | 33185 | 309 | 990 | 0.13 | 34.561382
HB | gemat12 | 4944 | 4944 | 128 | 33111 | 309 | 992 | 0.13 | 34.921398
HB | gr_30_30 | 912 | 912 | 128 | 4322 | 57 | 166 | 0.1 | 10.060403
HB | gre_1107 | 1120 | 1120 | 128 | 5664 | 70 | 270 | 0.08 | 13.000520
HB | gre_115 | 128 | 128 | 128 | 421 | 8 | 23 | 0.07 | 5.860234
HB | gre_185 | 192 | 192 | 128 | 1005 | 12 | 45 | 0.09 | 6.460258
HB | gre_216a | 224 | 224 | 128 | 876 | 14 | 38 | 0.09 | 7.920317
HB | gre_216b | 224 | 224 | 128 | 876 | 14 | 38 | 0.09 | 8.020321
HB | gre_343 | 352 | 352 | 128 | 1435 | 22 | 65 | 0.09 | 8.000320
HB | gre_512 | 512 | 512 | 128 | 2192 | 32 | 108 | 0.08 | 9.580383
HB | hor_131 | 448 | 448 | 128 | 4710 | 28 | 142 | 0.13 | 12.740510
HB | illc1033 | 1040 | 320 | 128 | 4732 | 65 | 105 | 0.18 | 14.180567
HB | illc1850 | 1856 | 720 | 128 | 8758 | 116 | 205 | 0.17 | 20.140806
HB | impcol_a | 208 | 208 | 128 | 572 | 13 | 26 | 0.09 | 6.160246
HB | impcol_b | 64 | 64 | 128 | 312 | 4 | 7 | 0.17 | 4.800192
HB | impcol_c | 144 | 144 | 128 | 411 | 9 | 19 | 0.08 | 5.560223
HB | impcol_d | 432 | 432 | 128 | 1339 | 27 | 63 | 0.08 | 7.680307
HB | impcol_e | 240 | 240 | 128 | 1308 | 15 | 41 | 0.12 | 7.360294
HB | jpwh_991 | 992 | 992 | 128 | 6027 | 62 | 348 | 0.07 | 17.520700
HB | lns_131 | 144 | 144 | 128 | 536 | 9 | 23 | 0.09 | 5.520221
HB | lns_3937 | 3952 | 3952 | 128 | 25407 | 247 | 1211 | 0.08 | 48.861954
HB | lns_511 | 512 | 512 | 128 | 2796 | 32 | 118 | 0.09 | 11.600464
HB | lnsp3937 | 3952 | 3952 | 128 | 25407 | 247 | 872 | 0.11 | 30.661226
HB | lnsp_131 | 144 | 144 | 128 | 536 | 9 | 24 | 0.09 | 6.040242
HB | lnsp_511 | 512 | 512 | 128 | 2796 | 32 | 105 | 0.1 | 8.640346
HB | lund_a | 160 | 160 | 128 | 1298 | 10 | 25 | 0.2 | 6.640265
HB | lund_b | 160 | 160 | 128 | 1294 | 10 | 25 | 0.2 | 6.680267
HB | mahindas | 1264 | 1264 | 128 | 7682 | 79 | 258 | 0.12 | 19.140766
HB | mahindas_b | 1264 | 64 | 128 | 162 | 79 | 11 | 0.06 | 7.580303
HB | mbeacxc | 496 | 496 | 128 | 49920 | 31 | 752 | 0.26 | 42.381695
HB | mbeaflw | 496 | 496 | 128 | 49920 | 31 | 752 | 0.26 | 41.581665
HB | mbeause | 496 | 496 | 128 | 41063 | 31 | 711 | 0.23 | 41.301651
HB | mcca | 192 | 192 | 128 | 2659 | 12 | 38 | 0.27 | 6.800272
HB | mcfe | 768 | 768 | 128 | 24382 | 48 | 394 | 0.24 | 19.620785
HB | nnc1374 | 1376 | 1376 | 128 | 8606 | 86 | 264 | 0.13 | 13.500540
HB | nnc261 | 272 | 272 | 128 | 1500 | 17 | 48 | 0.12 | 6.640265
HB | nnc666 | 672 | 672 | 128 | 4044 | 42 | 128 | 0.12 | 9.000360
HB | nos1 | 240 | 240 | 128 | 627 | 15 | 29 | 0.08 | 6.920277
HB | nos2 | 960 | 960 | 128 | 2547 | 60 | 119 | 0.08 | 7.740310
HB | nos3 | 960 | 960 | 128 | 8402 | 60 | 176 | 0.19 | 10.540421
HB | nos4 | 112 | 112 | 128 | 347 | 7 | 12 | 0.11 | 5.380215
HB | nos5 | 480 | 480 | 128 | 2820 | 30 | 99 | 0.11 | 9.600384
HB | nos6 | 688 | 688 | 128 | 1965 | 43 | 110 | 0.07 | 8.500340
HB | nos7 | 736 | 736 | 128 | 2673 | 46 | 131 | 0.08 | 8.340334
HB | orani678 | 2544 | 2544 | 128 | 90158 | 159 | 1061 | 0.33 | 135.025406
HB | orani678_b | 2544 | 96 | 128 | 297 | 159 | 17 | 0.07 | 9.120365
HB | orsirr_1 | 1040 | 1040 | 128 | 6858 | 65 | 272 | 0.1 | 14.320573
HB | orsirr_2 | 896 | 896 | 128 | 5970 | 56 | 238 | 0.1 | 13.660546
HB | orsreg_1 | 2208 | 2208 | 128 | 14133 | 138 | 754 | 0.07 | 28.061123
HB | plat1919 | 1920 | 1920 | 128 | 17159 | 120 | 572 | 0.12 | 26.801071
HB | plat362 | 368 | 368 | 128 | 3074 | 23 | 84 | 0.14 | 8.040321
HB | plsk1919 | 1920 | 1920 | 128 | 4831 | 120 | 248 | 0.08 | 20.080803
HB | plskz362 | 368 | 368 | 128 | 880 | 23 | 42 | 0.08 | 6.520261
HB | pores_1 | 32 | 32 | 128 | 180 | 2 | 4 | 0.18 | 7.780311
HB | pores_2 | 1232 | 1232 | 128 | 9613 | 77 | 263 | 0.14 | 13.700548
HB | pores_3 | 544 | 544 | 128 | 3474 | 34 | 94 | 0.14 | 9.640386
