[2026-04-25 16:54:52] | Category: HB | Sample: bcsstm05 | Dims(M,K,N,NNZ): 160,160,128,153 | Perf: 6.540131 | Verify: SUCCESS

[2026-04-25 16:55:00] | Category: HB | Sample: bcsstm06 | Dims(M,K,N,NNZ): 432,432,128,420 | Perf: 7.680153 | Verify: SUCCESS

[2026-04-25 16:55:08] | Category: HB | Sample: bcsstm07 | Dims(M,K,N,NNZ): 432,432,128,3836 | Perf: 10.120202 | Verify: SUCCESS

[2026-04-25 16:55:18] | Category: HB | Sample: bcsstm08 | Dims(M,K,N,NNZ): 1088,1088,128,1074 | Perf: 9.440188 | Verify: SUCCESS

[2026-04-25 16:55:28] | Category: HB | Sample: bcsstm09 | Dims(M,K,N,NNZ): 1088,1088,128,1083 | Perf: 9.700194 | Verify: SUCCESS

[2026-04-25 16:55:38] | Category: HB | Sample: bcsstm10 | Dims(M,K,N,NNZ): 1088,1088,128,11589 | Perf: 15.360307 | Verify: SUCCESS

[2026-04-25 16:55:48] | Category: HB | Sample: bcsstm11 | Dims(M,K,N,NNZ): 1488,1488,128,1473 | Perf: 10.740214 | Verify: SUCCESS

[2026-04-25 16:55:59] | Category: HB | Sample: bcsstm12 | Dims(M,K,N,NNZ): 1488,1488,128,10566 | Perf: 18.340366 | Verify: SUCCESS

[2026-04-25 16:56:11] | Category: HB | Sample: bcsstm13 | Dims(M,K,N,NNZ): 2016,2016,128,11973 | Perf: 21.640432 | Verify: SUCCESS

[2026-04-25 16:56:20] | Category: HB | Sample: bcsstm19 | Dims(M,K,N,NNZ): 832,832,128,817 | Perf: 8.940179 | Verify: SUCCESS

[2026-04-25 16:56:28] | Category: HB | Sample: bcsstm20 | Dims(M,K,N,NNZ): 496,496,128,485 | Perf: 7.960159 | Verify: SUCCESS

[2026-04-25 16:56:43] | Category: HB | Sample: bcsstm21 | Dims(M,K,N,NNZ): 3600,3600,128,3600 | Perf: 19.440390 | Verify: SUCCESS

[2026-04-25 16:56:50] | Category: HB | Sample: bcsstm22 | Dims(M,K,N,NNZ): 144,144,128,138 | Perf: 6.660133 | Verify: SUCCESS

[2026-04-25 16:57:05] | Category: HB | Sample: bcsstm23 | Dims(M,K,N,NNZ): 3136,3136,128,3134 | Perf: 17.340347 | Verify: SUCCESS

[2026-04-25 16:57:21] | Category: HB | Sample: bcsstm24 | Dims(M,K,N,NNZ): 3568,3568,128,3562 | Perf: 18.800377 | Verify: SUCCESS

[2026-04-25 16:58:06] | Category: HB | Sample: bcsstm25 | Dims(M,K,N,NNZ): 15440,15440,128,15439 | Perf: 62.601254 | Verify: SUCCESS

[2026-04-25 16:58:17] | Category: HB | Sample: bcsstm26 | Dims(M,K,N,NNZ): 1936,1936,128,1922 | Perf: 12.120242 | Verify: SUCCESS

[2026-04-25 16:58:30] | Category: HB | Sample: bcsstm27 | Dims(M,K,N,NNZ): 1232,1232,128,28675 | Perf: 20.860416 | Verify: FAILED

[2026-04-25 16:58:42] | Category: HB | Sample: beacxc | Dims(M,K,N,NNZ): 512,512,128,50409 | Perf: 32.680653 | Verify: SUCCESS

[2026-04-25 16:58:56] | Category: HB | Sample: beaflw | Dims(M,K,N,NNZ): 512,512,128,53403 | Perf: 32.860657 | Verify: SUCCESS

[2026-04-25 16:59:07] | Category: HB | Sample: beause | Dims(M,K,N,NNZ): 512,512,128,44551 | Perf: 28.680574 | Verify: SUCCESS

[2026-04-25 16:59:17] | Category: HB | Sample: bp_0 | Dims(M,K,N,NNZ): 832,832,128,3276 | Perf: 13.020261 | Verify: SUCCESS

[2026-04-25 16:59:25] | Category: HB | Sample: bp_1000 | Dims(M,K,N,NNZ): 832,832,128,4661 | Perf: 13.860277 | Verify: SUCCESS

[2026-04-25 16:59:34] | Category: HB | Sample: bp_1200 | Dims(M,K,N,NNZ): 832,832,128,4726 | Perf: 13.700274 | Verify: SUCCESS

[2026-04-25 16:59:43] | Category: HB | Sample: bp_1400 | Dims(M,K,N,NNZ): 832,832,128,4790 | Perf: 14.080281 | Verify: SUCCESS

